Instance;Optimal;Objective_0;Gap_0;Objective_1;Gap_1;Objective_2;Gap_2;Objective_3;Gap_3;Objective_4;Gap_4
XML100_3231_09;56625;59540;5.1479;59540;5.1479;59539;5.1461;59534;5.1373;59534;5.1373
XML100_3231_11;63101;65918;4.4643;65918;4.4643;66267;5.0174;66267;5.0174;66153;4.8367
XML100_3231_12;50040;52507;4.9301;52507;4.9301;52507;4.9301;52507;4.9301;52507;4.9301
XML100_3231_25;56531;57902;2.4252;57902;2.4252;57946;2.5031;57930;2.4747;57902;2.4252
XML100_3251_01;44697;45589;1.9957;45589;1.9957;45614;2.0516;45509;1.8167;45633;2.0941
XML100_3251_05;47312;49718;5.0854;49718;5.0854;49822;5.3052;49489;4.6014;49852;5.3686
XML100_3251_06;45450;47014;3.4411;47014;3.4411;47014;3.4411;47014;3.4411;47014;3.4411
XML100_3251_12;31949;32870;2.8827;32870;2.8827;32853;2.8295;32870;2.8827;32870;2.8827
XML100_3251_16;57158;60910;6.5643;60910;6.5643;60910;6.5643;60910;6.5643;60910;6.5643
XML100_3251_18;35927;36832;2.519;36832;2.519;36907;2.7278;37256;3.6992;37251;3.6853
XML100_3251_25;39495;40792;3.284;40792;3.284;40828;3.3751;40768;3.2232;40961;3.7119
XML100_3252_07;30901;32058;3.7442;32058;3.7442;32057;3.741;32080;3.8154;32057;3.741
XML100_3252_10;27078;27787;2.6184;27787;2.6184;27998;3.3976;27903;3.0468;27667;2.1752
XML100_3271_02;37503;39940;6.4981;39940;6.4981;38991;3.9677;39866;6.3008;39931;6.4741
XML100_3331_05;51526;53621;4.0659;53621;4.0659;53621;4.0659;53453;3.7399;53621;4.0659
XML100_3351_03;40817;41722;2.2172;41722;2.2172;41722;2.2172;41722;2.2172;41722;2.2172
XML100_3351_06;32569;33471;2.7695;33471;2.7695;33471;2.7695;33471;2.7695;33471;2.7695
XML100_3351_08;56613;58848;3.9479;58848;3.9479;58287;2.9569;58388;3.1353;58568;3.4533
XML100_3351_13;59961;62207;3.7458;62207;3.7458;62207;3.7458;62228;3.7808;62207;3.7458
XML100_3351_14;56053;57727;2.9865;57727;2.9865;57711;2.9579;57785;3.0899;57459;2.5083
XML100_3351_16;56165;57502;2.3805;57502;2.3805;57762;2.8434;57903;3.0945;57736;2.7971
XML100_3376_15;8780;9230;5.1253;9230;5.1253;9315;6.0934;9329;6.2528;9245;5.2961
XML100_3376_18;10184;10422;2.337;10422;2.337;10449;2.6021;10449;2.6021;10449;2.6021
